lines;words;chars;file_name
207;844;6609;hAsteroids/src/Collisions.hs
185;717;5380;hAsteroids/src/Components.hs
135;437;3551;hAsteroids/src/Draw.hs
46;165;1229;hAsteroids/src/GameLoop.hs
64;227;1854;hAsteroids/src/Initialize.hs
132;647;4811;hAsteroids/src/Input.hs
245;803;7054;hAsteroids/src/Resources.hs
57;219;1603;hAsteroids/src/SdlWrappers.hs
175;874;5969;hAsteroids/src/Step.hs
99;356;2583;hAsteroids/src/Utility.hs
67;172;1540;hAsteroids/app/Main.hs
1412;5461;42183;hAsteroids/total
149;635;4327;pure-asteroids/src/Draw.hs
95;350;3017;pure-asteroids/src/EventProcessing.hs
109;404;3631;pure-asteroids/src/GameLoop.hs
58;203;1509;pure-asteroids/src/Initialize.hs
85;384;2859;pure-asteroids/src/Input.hs
114;381;3334;pure-asteroids/src/Resources.hs
56;221;1862;pure-asteroids/src/Step.hs
197;578;3975;pure-asteroids/src/Types.hs
89;306;2013;pure-asteroids/src/Utility.hs
17;41;315;pure-asteroids/src/Step/Asteroids.hs
124;571;4467;pure-asteroids/src/Step/Bullets.hs
18;87;515;pure-asteroids/src/Step/Common.hs
24;63;468;pure-asteroids/src/Step/Score.hs
136;667;4754;pure-asteroids/src/Step/Ship.hs
109;540;3630;pure-asteroids/src/Step/Ufos.hs
50;123;1167;pure-asteroids/app/Main.hs
1430;5554;41843;pure-asteroids/total
195;376;5416;imp-asteroids/asteroids.cpp
78;182;2133;imp-asteroids/bullet.cpp
45;163;1303;imp-asteroids/driver.cpp
141;278;3043;imp-asteroids/flyingObject.cpp
531;1549;14674;imp-asteroids/game.cpp
67;197;1662;imp-asteroids/point.cpp
98;228;2218;imp-asteroids/ship.cpp
712;2805;22545;imp-asteroids/uiDraw.cpp
331;1355;11533;imp-asteroids/uiInteract.cpp
38;80;602;imp-asteroids/velocity.cpp
2236;7213;65129;imp-asteroids/total.cpp
105;196;2327;imp-asteroids/asteroids.h
36;81;790;imp-asteroids/bullet.h
60;127;1384;imp-asteroids/flyingObject.h
103;261;2938;imp-asteroids/game.h
48;159;1302;imp-asteroids/point.h
63;126;1227;imp-asteroids/ship.h
135;580;5979;imp-asteroids/uiDraw.h
133;644;5045;imp-asteroids/uiInteract.h
29;62;626;imp-asteroids/velocity.h
712;2236;21618;imp-asteroids/total.h
2948;9449;86747;imp-asteroids/total
